,Type,Latitude,Longitude,Year,Month,Day,Hour,Minute,Second
69,Person and Vehicle search,51.512856,-0.073254,2019,12,28,11,18,50
71,Person and Vehicle search,51.512856,-0.073254,2019,12,29,3,10,1
75,Person and Vehicle search,51.518262,-0.088203,2019,12,29,11,59,4
80,Person and Vehicle search,51.517577,-0.098062,2020,1,1,8,12,36
81,Person and Vehicle search,51.513885,-0.102741,2020,1,1,8,40,7
82,Person search,51.516814,-0.08162,2020,1,2,2,7,16
83,Person and Vehicle search,51.51265,-0.101452,2020,1,2,7,41,52
85,Person and Vehicle search,51.513389,-0.080034,2020,1,3,1,29,9
86,Person and Vehicle search,51.516966,-0.1059,2020,1,3,4,5,21
87,Person search,51.513268,-0.100202,2020,1,3,4,36,47
88,Person and Vehicle search,51.508066,-0.08778,2020,1,4,2,34,26
92,Person and Vehicle search,51.514858,0.004717,2020,1,6,3,22,13
97,Person search,51.517184,-0.076747,2020,1,7,4,16,57
99,Person search,51.51768,-0.078484,2020,1,9,6,44,58
101,Person search,51.516351,-0.082965,2020,1,11,5,58,57
102,Person search,51.516351,-0.082965,2020,1,11,7,32,57
103,Person search,51.516351,-0.082965,2020,1,11,11,9,39
104,Person and Vehicle search,51.514461,-0.092268,2020,1,11,12,7,55
106,Person search,51.509848,-0.104494,2020,1,12,10,35,5
107,Person search,51.513377,-0.096363,2020,1,13,2,13,49
109,Person search,51.515739,-0.100632,2020,1,14,1,40,39
111,Person search,51.516814,-0.08162,2020,1,14,6,53,1
112,Person and Vehicle search,51.514151,-0.074958,2020,1,15,7,31,8
113,Person search,51.517058,-0.083296,2020,1,16,5,56,30
116,Person and Vehicle search,51.513171,-0.077694,2020,1,17,4,54,51
117,Person and Vehicle search,51.522003,-0.117684,2020,1,17,6,56,31
118,Person search,51.516834,-0.076199,2020,1,17,8,53,41
119,Person and Vehicle search,51.515196,-0.071772,2020,1,17,9,30,37
121,Person search,51.517576,-0.079786,2020,1,19,4,6,6
126,Person and Vehicle search,51.513389,-0.080034,2020,1,21,7,42,34
128,Person search,51.517184,-0.076747,2020,1,22,9,59,2
129,Person search,51.516814,-0.08162,2020,1,22,11,14,51
130,Person and Vehicle search,51.516814,-0.08162,2020,1,23,1,53,11
131,Person and Vehicle search,51.51265,-0.101452,2020,1,23,2,39,6
132,Person and Vehicle search,51.51265,-0.101452,2020,1,23,3,35,25
135,Person search,51.52029,-0.078591,2020,1,23,9,48,9
136,Person search,51.509547,-0.076031,2020,1,24,4,21,28
137,Person and Vehicle search,51.508066,-0.08778,2020,1,24,6,14,40
139,Person search,51.510651,-0.080322,2020,1,25,5,48,8
141,Person and Vehicle search,51.51265,-0.101452,2020,1,25,9,28,28
142,Person and Vehicle search,51.514151,-0.074958,2020,1,25,11,21,45
143,Person search,51.511625,-0.081549,2020,1,26,5,58,15
144,Person search,51.516886,-0.090985,2020,1,26,12,49,32
145,Person and Vehicle search,51.51905,-0.076437,2020,1,27,3,45,53
151,Person and Vehicle search,51.516814,-0.08162,2020,1,29,3,15,52
152,Person search,51.513194,-0.092321,2020,1,30,3,7,0
153,Person and Vehicle search,51.508066,-0.08778,2020,1,30,5,6,48
156,Person search,51.516006,-0.080573,2020,2,1,2,30,37
160,Person and Vehicle search,51.515606,-0.094094,2020,2,2,5,20,11
161,Person search,51.516497,-0.094115,2020,2,2,6,27,50
162,Person and Vehicle search,51.510913,-0.101395,2020,2,3,2,33,5
163,Person search,51.516814,-0.08162,2020,2,4,3,0,51
164,Person search,51.516814,-0.08162,2020,2,4,3,12,48
165,Person search,51.516508,-0.079398,2020,2,4,4,3,21
173,Person and Vehicle search,51.518864,-0.097562,2020,2,7,5,55,34
176,Person and Vehicle search,51.518226,-0.111497,2020,2,8,4,35,27
177,Person search,51.516508,-0.079398,2020,2,8,8,41,54
181,Person search,51.516508,-0.079398,2020,2,12,8,38,47
184,Person search,51.516497,-0.094115,2020,2,16,2,30,1
185,Person and Vehicle search,51.51265,-0.101452,2020,2,19,4,39,24
186,Person and Vehicle search,51.51265,-0.101452,2020,2,19,7,14,10
189,Person and Vehicle search,51.51265,-0.101452,2020,2,20,3,13,52
190,Person and Vehicle search,51.511749,-0.108018,2020,2,20,10,56,24
197,Person search,51.504439,-0.090915,2020,2,25,5,28,32
200,Person and Vehicle search,51.517032,-0.089451,2020,2,26,6,46,2
202,Person and Vehicle search,51.55269,-0.109594,2020,2,26,9,22,39
203,Person and Vehicle search,51.513171,-0.077694,2020,2,26,12,41,26
208,Person and Vehicle search,51.509848,-0.104494,2020,2,29,9,48,42
209,Person and Vehicle search,51.509848,-0.104494,2020,2,29,10,7,26
210,Person and Vehicle search,51.518864,-0.097562,2020,2,29,12,52,29
211,Person search,51.505103,-0.099677,2020,2,29,12,54,2
214,Person search,51.513952,-0.085833,2020,3,3,3,49,33
215,Person and Vehicle search,51.514151,-0.074958,2020,3,4,4,49,44
216,Person search,51.516814,-0.08162,2020,3,4,4,50,2
217,Person and Vehicle search,51.51121,-0.094206,2020,3,4,7,34,50
218,Person search,51.516814,-0.08162,2020,3,6,2,58,13
219,Person search,51.512147,-0.092077,2020,3,6,10,57,35
221,Person search,51.517149,-0.08776,2020,3,7,11,33,57
222,Person and Vehicle search,51.511625,-0.081549,2020,3,9,4,16,0
225,Person and Vehicle search,51.509775,-0.085014,2020,3,10,11,42,19
228,Person and Vehicle search,51.508066,-0.08778,2020,3,12,1,20,54
230,Person search,51.516147,-0.082066,2020,3,13,4,31,51
231,Person search,51.514203,-0.094628,2020,3,13,7,41,51
233,Person and Vehicle search,51.516966,-0.1059,2020,3,13,11,6,28
234,Person and Vehicle search,51.514461,-0.092268,2020,3,14,3,37,19
235,Person search,51.511916,-0.076853,2020,3,15,4,18,49
244,Person and Vehicle search,51.512147,-0.092077,2020,3,23,5,58,51
247,Person search,51.511122,-0.087666,2020,3,26,8,22,6
249,Person and Vehicle search,51.509848,-0.104494,2020,3,26,9,47,16
250,Person and Vehicle search,51.517728,-0.10238,2020,3,26,11,39,52
251,Person and Vehicle search,51.512147,-0.092077,2020,3,26,11,48,11
252,Person and Vehicle search,51.516867,-0.022004,2020,3,27,5,29,11
256,Person and Vehicle search,51.516351,-0.082965,2020,4,2,0,54,17
257,Person and Vehicle search,51.515546,-0.070056,2020,4,3,9,22,46
258,Person and Vehicle search,51.516047,-0.075411,2020,4,3,11,3,8
262,Person and Vehicle search,51.51962,-0.088766,2020,4,7,10,53,17
263,Person and Vehicle search,51.522615,-0.077253,2020,4,10,2,32,27
264,Person search,51.509848,-0.104494,2020,4,10,11,20,30
267,Person search,51.518864,-0.097562,2020,4,13,4,4,6
271,Person and Vehicle search,51.583366,-0.072178,2020,4,16,7,32,25
272,Person and Vehicle search,51.589418,-0.076556,2020,4,16,8,23,26
274,Person search,51.506895,-0.058634,2020,4,17,8,17,19
276,Person and Vehicle search,51.509027,-0.06304,2020,4,19,4,54,19
283,Person and Vehicle search,51.516814,-0.08162,2020,4,24,7,22,58
284,Person search,51.51768,-0.078484,2020,4,24,10,35,11
285,Person and Vehicle search,51.51265,-0.076044,2020,4,26,2,1,2
289,Person and Vehicle search,51.516966,-0.1059,2020,4,29,1,11,49
290,Person search,51.516966,-0.1059,2020,4,29,1,19,8
291,Person and Vehicle search,51.512147,-0.092077,2020,5,2,0,41,25
293,Person and Vehicle search,51.51265,-0.101452,2020,5,6,1,43,7
294,Person search,51.51265,-0.101452,2020,5,6,11,57,36
295,Person and Vehicle search,51.508181,-0.019397,2020,5,7,3,2,19
299,Person search,51.518231,-0.112939,2020,5,10,1,9,50
300,Person search,51.518231,-0.112939,2020,5,10,1,10,44
301,Person and Vehicle search,51.518231,-0.112939,2020,5,10,1,13,28
306,Person and Vehicle search,51.515728,-0.078393,2020,5,11,10,53,58
309,Person search,51.506255,-0.074901,2020,5,13,0,50,9
310,Person search,51.506255,-0.074901,2020,5,13,1,25,34
311,Person search,51.511711,-0.07421,2020,5,13,11,42,54
313,Person search,51.513952,-0.085833,2020,5,16,9,57,55
315,Person search,51.515484,-0.088233,2020,5,19,3,18,54
316,Person and Vehicle search,51.540568,0.002083,2020,5,19,9,36,46
318,Person search,51.513928,-0.108231,2020,5,20,0,46,3
319,Person and Vehicle search,51.513928,-0.108231,2020,5,20,0,46,34
320,Person search,51.51121,-0.094206,2020,5,20,0,53,22
321,Person and Vehicle search,51.592365,-0.082452,2020,5,20,4,20,26
322,Person search,51.517032,-0.089451,2020,5,21,1,29,37
326,Person search,51.516351,-0.082965,2020,5,24,8,30,36
328,Person and Vehicle search,51.512147,-0.092077,2020,5,25,4,12,56
329,Person search,51.512791,-0.101274,2020,5,26,0,31,44
330,Person and Vehicle search,51.506338,-0.088227,2020,5,30,5,58,57
331,Person and Vehicle search,51.506338,-0.088227,2020,5,30,6,0,35
332,Person and Vehicle search,51.506255,-0.074901,2020,6,2,3,6,55
333,Person search,51.514513,-0.096561,2020,6,2,6,41,19
334,Person search,51.510913,-0.101395,2020,6,3,2,42,33
335,Person search,51.510913,-0.101395,2020,6,3,3,20,9
336,Person and Vehicle search,51.517032,-0.089451,2020,6,3,8,36,28
337,Person and Vehicle search,51.517032,-0.089451,2020,6,3,10,57,38
338,Person search,51.51768,-0.078484,2020,6,4,11,28,49
339,Person and Vehicle search,51.513051,-0.104001,2020,6,5,2,59,45
340,Person and Vehicle search,51.513051,-0.104001,2020,6,5,3,2,46
342,Person and Vehicle search,51.51972,-0.099933,2020,6,10,0,49,48
343,Person search,51.516351,-0.082965,2020,6,10,8,20,9
344,Person and Vehicle search,51.506255,-0.074901,2020,6,11,3,36,36
345,Person search,51.506255,-0.074901,2020,6,11,3,50,12
347,Person and Vehicle search,51.5169,-0.084095,2020,6,12,1,18,3
348,Person search,51.5169,-0.084095,2020,6,12,4,17,19
349,Person search,51.515504,-0.07627,2020,6,14,4,22,40
350,Person search,51.512598,-0.084967,2020,6,14,7,19,24
351,Person search,51.509547,-0.076031,2020,6,15,0,57,49
352,Person search,51.509547,-0.076031,2020,6,15,1,10,53
355,Person and Vehicle search,51.517032,-0.089451,2020,6,17,3,6,39
356,Person search,51.514203,-0.094628,2020,6,18,5,21,41
357,Person and Vehicle search,51.515196,-0.071772,2020,6,18,6,35,10
358,Person and Vehicle search,51.51992,-0.056696,2020,6,18,9,12,24
359,Person and Vehicle search,51.516894,-0.076067,2020,6,19,5,6,37
362,Person and Vehicle search,51.513114,-0.086272,2020,6,20,11,19,59
363,Person and Vehicle search,51.515033,-0.07825,2020,6,21,3,8,22
365,Person search,51.518799,-0.077601,2020,6,21,5,15,38
366,Person search,51.506255,-0.074901,2020,6,21,10,34,56
367,Person and Vehicle search,51.51121,-0.094206,2020,6,22,1,35,51
368,Person search,51.51142,-0.097699,2020,6,22,3,39,5
369,Person search,51.51142,-0.097699,2020,6,22,4,11,23
370,Person search,51.516814,-0.08162,2020,6,22,7,0,29
371,Person search,51.516814,-0.08162,2020,6,22,9,51,21
374,Person search,51.51768,-0.078484,2020,6,23,5,13,34
377,Person and Vehicle search,51.516347,-0.104887,2020,6,25,0,23,16
378,Person search,51.514151,-0.074958,2020,6,26,8,22,20
388,Person and Vehicle search,51.512117,-0.102411,2020,7,1,3,10,5
389,Person and Vehicle search,51.512117,-0.102411,2020,7,1,3,10,5
390,Person search,51.512117,-0.102411,2020,7,1,3,16,33
391,Person search,51.512117,-0.102411,2020,7,1,3,16,33
392,Person search,51.518864,-0.097562,2020,7,3,3,28,28
393,Person search,51.518864,-0.097562,2020,7,3,3,28,28
396,Person and Vehicle search,51.514151,-0.074958,2020,7,4,6,4,21
397,Person and Vehicle search,51.514151,-0.074958,2020,7,4,6,4,21
398,Person search,51.522233,-0.107382,2020,7,4,10,54,43
399,Person search,51.522233,-0.107382,2020,7,4,10,54,43
402,Person search,51.515504,-0.07627,2020,7,5,1,23,29
403,Person search,51.515504,-0.07627,2020,7,5,1,23,29
408,Person search,51.515504,-0.07627,2020,7,5,1,58,37
409,Person search,51.515504,-0.07627,2020,7,5,1,58,37
410,Person search,51.514457,-0.073849,2020,7,5,10,31,7
411,Person search,51.514457,-0.073849,2020,7,5,10,31,7
416,Person and Vehicle search,51.521667,-0.067145,2020,7,9,6,10,44
417,Person and Vehicle search,51.521667,-0.067145,2020,7,9,6,10,44
418,Person and Vehicle search,51.513928,-0.108231,2020,7,9,8,7,41
419,Person and Vehicle search,51.513928,-0.108231,2020,7,9,8,7,41
420,Person search,51.515307,-0.097277,2020,7,9,10,0,11
421,Person search,51.515307,-0.097277,2020,7,9,10,0,11
422,Person search,51.515142,-0.097645,2020,7,9,11,26,21
423,Person search,51.515142,-0.097645,2020,7,9,11,26,21
426,Person and Vehicle search,51.51121,-0.094206,2020,7,10,3,47,21
427,Person and Vehicle search,51.51121,-0.094206,2020,7,10,3,47,21
430,Person and Vehicle search,51.516814,-0.08162,2020,7,11,2,26,19
431,Person and Vehicle search,51.516814,-0.08162,2020,7,11,2,26,19
434,Person search,51.51768,-0.078484,2020,7,13,3,34,6
435,Person search,51.51768,-0.078484,2020,7,13,3,34,6
436,Person search,51.508587,-0.078924,2020,7,13,3,42,20
437,Person search,51.508587,-0.078924,2020,7,13,3,42,20
438,Person search,51.508587,-0.078924,2020,7,13,4,42,33
439,Person search,51.508587,-0.078924,2020,7,13,4,42,33
440,Person search,51.516508,-0.079398,2020,7,13,10,50,11
441,Person search,51.516508,-0.079398,2020,7,13,10,50,11
444,Person search,51.513952,-0.085833,2020,7,14,2,25,20
445,Person search,51.513952,-0.085833,2020,7,14,2,25,20
446,Person search,51.511386,-0.092296,2020,7,14,9,58,31
447,Person search,51.511386,-0.092296,2020,7,14,9,58,31
450,Person search,51.514753,-0.082571,2020,7,15,8,30,46
451,Person search,51.514753,-0.082571,2020,7,15,8,30,46
454,Person search,51.518462,-0.093845,2020,7,16,3,11,17
455,Person search,51.518462,-0.093845,2020,7,16,3,11,17
456,Person and Vehicle search,51.513377,-0.096363,2020,7,16,4,22,38
457,Person and Vehicle search,51.513377,-0.096363,2020,7,16,4,22,38
464,Person search,51.513377,-0.096363,2020,7,20,7,52,9
465,Person search,51.513377,-0.096363,2020,7,20,7,52,9
468,Person search,51.520846,-0.100593,2020,7,21,0,12,46
469,Person search,51.520846,-0.100593,2020,7,21,0,12,46
470,Person search,51.519312,-0.103597,2020,7,21,0,38,57
471,Person search,51.519312,-0.103597,2020,7,21,0,38,57
472,Person search,51.519312,-0.103597,2020,7,21,2,4,57
473,Person search,51.519312,-0.103597,2020,7,21,2,4,57
474,Person and Vehicle search,51.509848,-0.104494,2020,7,21,3,38,38
475,Person and Vehicle search,51.509848,-0.104494,2020,7,21,3,38,38
476,Person and Vehicle search,51.511053,-0.075722,2020,7,21,6,32,0
477,Person and Vehicle search,51.511053,-0.075722,2020,7,21,6,32,0
480,Person and Vehicle search,51.506255,-0.074901,2020,7,22,2,41,41
481,Person and Vehicle search,51.506255,-0.074901,2020,7,22,2,41,41
482,Person and Vehicle search,51.516814,-0.08162,2020,7,22,5,0,16
483,Person and Vehicle search,51.516814,-0.08162,2020,7,22,5,0,16
490,Person search,51.521038,-0.078718,2020,7,23,11,26,32
491,Person search,51.521038,-0.078718,2020,7,23,11,26,32
492,Person search,51.517231,-0.079613,2020,7,24,0,14,6
493,Person search,51.517231,-0.079613,2020,7,24,0,14,6
494,Person search,51.517196,-0.085149,2020,7,24,0,45,44
495,Person search,51.517196,-0.085149,2020,7,24,0,45,44
496,Person search,51.518511,-0.08531,2020,7,24,1,23,41
497,Person search,51.518511,-0.08531,2020,7,24,1,23,41
498,Person search,51.517231,-0.079613,2020,7,24,1,41,10
499,Person search,51.517231,-0.079613,2020,7,24,1,41,10
502,Person search,51.516814,-0.08162,2020,7,25,1,31,22
503,Person search,51.516814,-0.08162,2020,7,25,1,31,22
504,Person and Vehicle search,51.516814,-0.08162,2020,7,25,1,43,47
505,Person and Vehicle search,51.516814,-0.08162,2020,7,25,1,43,47
506,Person and Vehicle search,51.516814,-0.08162,2020,7,25,3,28,22
507,Person and Vehicle search,51.516814,-0.08162,2020,7,25,3,28,22
514,Person search,51.518262,-0.097053,2020,7,25,7,22,8
515,Person search,51.518262,-0.097053,2020,7,25,7,22,8
516,Person search,51.512888,-0.094482,2020,7,27,2,1,20
517,Person search,51.512888,-0.094482,2020,7,27,2,1,20
520,Person search,51.512027,-0.082527,2020,7,28,6,0,10
521,Person search,51.512027,-0.082527,2020,7,28,6,0,10
522,Person and Vehicle search,51.512027,-0.082527,2020,7,28,7,53,40
523,Person and Vehicle search,51.512027,-0.082527,2020,7,28,7,53,40
524,Person and Vehicle search,51.52331,-0.098342,2020,7,29,0,45,4
525,Person and Vehicle search,51.52331,-0.098342,2020,7,29,0,45,4
526,Person and Vehicle search,51.516814,-0.08162,2020,7,29,6,4,34
527,Person and Vehicle search,51.516814,-0.08162,2020,7,29,6,4,34
528,Person search,51.513769,-0.076833,2020,7,30,2,59,43
529,Person search,51.513769,-0.076833,2020,7,30,2,59,43
530,Person search,51.51539,-0.070437,2020,7,30,8,52,15
531,Person search,51.51539,-0.070437,2020,7,30,8,52,15
532,Person and Vehicle search,51.517032,-0.089451,2020,7,31,3,27,44
533,Person and Vehicle search,51.517032,-0.089451,2020,7,31,3,27,44
534,Person and Vehicle search,51.51768,-0.078484,2020,7,31,5,2,27
535,Person and Vehicle search,51.51768,-0.078484,2020,7,31,5,2,27
536,Person and Vehicle search,51.52051,-0.08158,2020,7,31,8,17,28
537,Person and Vehicle search,51.52051,-0.08158,2020,7,31,8,17,28
538,Person and Vehicle search,51.504764,-0.113192,2020,7,31,9,1,11
539,Person and Vehicle search,51.504764,-0.113192,2020,7,31,9,1,11
540,Person search,51.521038,-0.078718,2020,8,3,4,3,46
542,Person and Vehicle search,51.509532,-0.088843,2020,8,4,0,23,8
543,Person search,51.509532,-0.088843,2020,8,4,0,29,22
544,Person and Vehicle search,51.518864,-0.097562,2020,8,5,6,16,28
546,Person search,51.513447,-0.093493,2020,8,6,4,14,38
549,Person and Vehicle search,51.51792,-0.092628,2020,8,8,1,18,7
550,Person search,51.513389,-0.080034,2020,8,8,8,45,41
552,Person search,51.510868,-0.0969,2020,8,9,1,56,31
553,Person search,51.512387,-0.082512,2020,8,9,2,11,50
554,Person and Vehicle search,51.512387,-0.082512,2020,8,9,3,11,54
557,Person and Vehicle search,51.514457,-0.073849,2020,8,11,2,34,2
559,Person and Vehicle search,51.509848,-0.104494,2020,8,12,0,46,13
561,Person search,51.516351,-0.082965,2020,8,12,2,20,38
564,Person search,51.516347,-0.104887,2020,8,13,2,16,19
567,Person search,51.508066,-0.08778,2020,8,14,1,42,37
568,Person and Vehicle search,51.516767,-0.098572,2020,8,15,1,14,57
569,Person search,51.519703,-0.101649,2020,8,16,0,31,56
574,Person and Vehicle search,51.525017,-0.035504,2020,8,17,4,44,32
576,Person and Vehicle search,51.510014,-0.081516,2020,8,18,7,44,28
577,Person search,51.511923,-0.086624,2020,8,18,10,32,41
580,Person search,51.51768,-0.078484,2020,8,19,11,45,17
581,Person and Vehicle search,51.509848,-0.104494,2020,8,20,2,44,53
582,Person search,51.516814,-0.08162,2020,8,21,2,26,22
583,Person and Vehicle search,51.52029,-0.078591,2020,8,21,2,38,28
591,Person and Vehicle search,51.513389,-0.080034,2020,8,27,10,8,1
593,Person and Vehicle search,51.51768,-0.078484,2020,8,28,9,27,18
594,Person and Vehicle search,51.51104,-0.113726,2020,8,28,10,30,22
595,Person search,51.516351,-0.082965,2020,8,29,4,2,38
596,Person and Vehicle search,51.516347,-0.104887,2020,8,29,6,47,41
597,Person and Vehicle search,51.509848,-0.104494,2020,8,31,2,45,22
599,Person and Vehicle search,51.516814,-0.08162,2020,8,31,3,41,43
604,Person and Vehicle search,51.509848,-0.104494,2020,8,31,11,5,44
605,Person search,51.519812,-0.093933,2020,9,1,7,43,34
606,Person search,51.517149,-0.08776,2020,9,1,8,34,25
609,Person search,51.512108,-0.097973,2020,9,5,0,33,56
611,Person and Vehicle search,51.509757,-0.083386,2020,9,6,1,6,36
612,Person search,51.516814,-0.08162,2020,9,6,7,59,26
615,Person search,51.516497,-0.094115,2020,9,8,11,51,9
616,Person search,51.516814,-0.08162,2020,9,9,5,20,13
617,Person search,51.518864,-0.097562,2020,9,10,2,32,4
618,Person and Vehicle search,51.515033,-0.07825,2020,9,11,3,39,1
619,Person search,51.517058,-0.083296,2020,9,12,1,14,26
621,Person search,51.511133,-0.096659,2020,9,12,6,23,41
622,Person search,51.517058,-0.083296,2020,9,12,7,7,29
623,Person search,51.509547,-0.076031,2020,9,13,1,30,10
624,Person search,51.509547,-0.076031,2020,9,13,2,7,9
625,Person search,51.51768,-0.078484,2020,9,13,3,4,59
626,Person search,51.510795,-0.077578,2020,9,13,8,23,34
627,Person search,51.516814,-0.08162,2020,9,14,10,13,19
628,Person and Vehicle search,51.517231,-0.079613,2020,9,15,5,34,46
629,Person search,51.517058,-0.083296,2020,9,16,0,22,54
631,Person search,51.517431,-0.082458,2020,9,17,6,12,7
632,Person and Vehicle search,51.517032,-0.089451,2020,9,17,6,55,10
633,Person and Vehicle search,51.506255,-0.074901,2020,9,17,9,18,30
635,Person and Vehicle search,51.517196,-0.085149,2020,9,18,0,46,44
636,Person search,51.511916,-0.076853,2020,9,18,5,1,39
638,Person search,51.511916,-0.076853,2020,9,18,5,34,5
639,Person search,51.513389,-0.080034,2020,9,18,8,22,48
640,Person and Vehicle search,51.516508,-0.079398,2020,9,21,1,38,12
641,Person search,51.517032,-0.089451,2020,9,21,5,10,29
642,Person search,51.509313,-0.07385,2020,9,21,7,10,20
643,Person and Vehicle search,51.511749,-0.108018,2020,9,22,3,33,3
646,Person search,51.515728,-0.078393,2020,9,24,1,1,14
648,Person search,51.515728,-0.078393,2020,9,24,5,59,12
650,Person search,51.516006,-0.080573,2020,9,27,0,22,49
651,Person search,51.516347,-0.104887,2020,9,28,1,1,53
652,Person search,51.513171,-0.077694,2020,9,28,6,13,25
653,Person and Vehicle search,51.510828,-0.086166,2020,9,28,6,55,59
654,Person and Vehicle search,51.516767,-0.098572,2020,9,29,1,44,43
655,Person search,51.516814,-0.08162,2020,9,29,2,50,40
657,Person and Vehicle search,51.513389,-0.080034,2020,9,30,8,46,12
658,Person and Vehicle search,51.513389,-0.080034,2020,9,30,9,56,35
660,Person search,51.512598,-0.084967,2020,10,2,7,35,19
661,Person and Vehicle search,51.510795,-0.077578,2020,10,2,8,47,43
663,Person and Vehicle search,51.512678,-0.079444,2020,10,3,0,33,17
664,Person and Vehicle search,51.516347,-0.104887,2020,10,3,6,53,52
666,Person and Vehicle search,51.51265,-0.101452,2020,10,3,8,20,26
667,Person search,51.516814,-0.08162,2020,10,4,5,51,24
668,Person and Vehicle search,51.516814,-0.08162,2020,10,4,6,12,31
670,Person search,51.514203,-0.094628,2020,10,7,4,20,50
673,Person and Vehicle search,51.516347,-0.104887,2020,10,8,9,6,1
674,Person search,51.517231,-0.079613,2020,10,8,10,25,13
678,Person search,51.506255,-0.074901,2020,10,9,2,22,41
679,Person search,51.511812,-0.089698,2020,10,9,7,40,52
681,Person and Vehicle search,51.509313,-0.07385,2020,10,10,0,6,7
682,Person and Vehicle search,51.506255,-0.074901,2020,10,10,1,15,33
683,Person search,51.506255,-0.074901,2020,10,10,5,2,34
684,Person search,51.506255,-0.074901,2020,10,10,5,47,43
685,Person search,51.514457,-0.073849,2020,10,13,3,51,4
686,Person search,51.512952,-0.096814,2020,10,13,5,3,38
687,Person search,51.512952,-0.096814,2020,10,13,5,4,28
688,Person search,51.513885,-0.102741,2020,10,13,6,2,57
689,Person search,51.516814,-0.08162,2020,10,13,9,17,35
690,Person and Vehicle search,51.515033,-0.07825,2020,10,14,7,56,2
691,Person search,51.523156,-0.09721,2020,10,15,2,1,32
692,Person and Vehicle search,51.523156,-0.09721,2020,10,15,2,12,33
695,Person search,51.518046,-0.077777,2020,10,16,1,56,23
696,Person search,51.516814,-0.08162,2020,10,16,8,39,37
697,Person and Vehicle search,51.516347,-0.104887,2020,10,16,8,58,57
698,Person and Vehicle search,51.518709,-0.101345,2020,10,19,0,23,35
699,Person and Vehicle search,51.506255,-0.074901,2020,10,19,0,36,26
702,Person search,51.516814,-0.08162,2020,10,21,9,10,45
706,Person and Vehicle search,51.509848,-0.104494,2020,10,22,4,55,31
708,Person and Vehicle search,51.509757,-0.083386,2020,10,22,10,53,15
