,Date,Latitude,Longitude,Time difference,Time difference in months,Time difference in weeks,Time difference in hours
31,2019-12-17 07:25:03+00:00,51.517588,-0.076686,0 days 23:47:47,0.0,0.0,23.796388888888888
33,2019-12-18 07:12:50+00:00,51.525017,-0.035504,0 days 00:23:19,0.0,0.0,0.38861111111111113
34,2019-12-18 07:36:09+00:00,51.512598,-0.084967,0 days 00:30:16,0.0,0.0,0.5044444444444445
35,2019-12-18 08:06:25+00:00,51.525017,-0.035504,0 days 01:54:22,0.0,0.0,1.906111111111111
38,2019-12-18 10:00:47+00:00,51.516814,-0.08162,0 days 00:02:58,0.0,0.0,0.049444444444444444
39,2019-12-18 10:03:45+00:00,51.512147,-0.092077,0 days 17:20:52,0.0,0.0,17.34777777777778
40,2019-12-19 03:24:37+00:00,51.508066,-0.08778,0 days 05:22:09,0.0,0.0,5.369166666666667
41,2019-12-19 08:46:46+00:00,51.509848,-0.104494,0 days 00:30:08,0.0,0.0,0.5022222222222222
42,2019-12-19 09:16:54+00:00,51.517576,-0.079786,0 days 00:00:00,0.0,0.0,0.0
43,2019-12-19 09:16:54+00:00,51.516814,-0.08162,0 days 01:16:34,0.0,0.0,1.2761111111111112
44,2019-12-19 10:33:28+00:00,51.516894,-0.076067,0 days 20:55:24,0.0,0.0,20.923333333333332
46,2019-12-20 07:28:52+00:00,51.515075,-0.077513,0 days 02:18:32,0.0,0.0,2.3088888888888888
47,2019-12-20 09:47:24+00:00,51.51265,-0.101452,0 days 01:55:47,0.0,0.0,1.9297222222222221
48,2019-12-20 11:43:11+00:00,51.51265,-0.101452,0 days 00:45:16,0.0,0.0,0.7544444444444445
49,2019-12-20 12:28:27+00:00,51.508066,-0.08778,0 days 13:46:16,0.0,0.0,13.77111111111111
53,2019-12-21 02:14:43+00:00,51.514457,-0.073849,0 days 02:30:45,0.0,0.0,2.5125
54,2019-12-21 04:45:28+00:00,51.512682,-0.084618,0 days 00:00:00,0.0,0.0,0.0
55,2019-12-21 04:45:28+00:00,51.512598,-0.084967,0 days 00:00:44,0.0,0.0,0.012222222222222223
56,2019-12-21 04:46:12+00:00,51.517032,-0.089451,0 days 05:44:11,0.0,0.0,5.7363888888888885
57,2019-12-21 10:30:23+00:00,51.51265,-0.101452,0 days 21:10:35,0.0,0.0,21.176388888888887
58,2019-12-22 07:40:58+00:00,51.512598,-0.084967,0 days 00:00:00,0.0,0.0,0.0
59,2019-12-22 07:40:58+00:00,51.512598,-0.084967,0 days 19:53:24,0.0,0.0,19.89
60,2019-12-23 03:34:22+00:00,51.51265,-0.101452,0 days 00:01:42,0.0,0.0,0.028333333333333332
61,2019-12-23 03:36:04+00:00,51.51265,-0.101452,0 days 04:54:13,0.0,0.0,4.903611111111111
62,2019-12-23 08:30:17+00:00,51.513915,-0.07318,0 days 01:02:50,0.0,0.0,1.0472222222222223
63,2019-12-23 09:33:07+00:00,51.513915,-0.07318,0 days 01:58:19,0.0,0.0,1.9719444444444445
64,2019-12-23 11:31:26+00:00,51.516351,-0.082965,1 days 20:38:32,0.0328515111695138,0.14285714285714285,44.64222222222222
65,2019-12-25 08:09:58+00:00,51.515606,-0.094094,2 days 01:51:30,0.0657030223390276,0.2857142857142857,49.858333333333334
67,2019-12-27 10:01:28+00:00,51.528493,-0.091394,0 days 00:00:55,0.0,0.0,0.015277777777777777
68,2019-12-27 10:02:23+00:00,51.528493,-0.091394,1 days 01:16:27,0.0328515111695138,0.14285714285714285,25.274166666666666
69,2019-12-28 11:18:50+00:00,51.512856,-0.073254,0 days 15:51:11,0.0,0.0,15.853055555555555
71,2019-12-29 03:10:01+00:00,51.512856,-0.073254,0 days 08:49:03,0.0,0.0,8.8175
75,2019-12-29 11:59:04+00:00,51.518262,-0.088203,2 days 20:13:32,0.0657030223390276,0.2857142857142857,68.22555555555556
80,2020-01-01 08:12:36+00:00,51.517577,-0.098062,0 days 00:27:31,0.0,0.0,0.45861111111111114
81,2020-01-01 08:40:07+00:00,51.513885,-0.102741,0 days 17:27:09,0.0,0.0,17.4525
82,2020-01-02 02:07:16+00:00,51.516814,-0.08162,0 days 05:34:36,0.0,0.0,5.576666666666667
83,2020-01-02 07:41:52+00:00,51.51265,-0.101452,0 days 17:47:17,0.0,0.0,17.788055555555555
85,2020-01-03 01:29:09+00:00,51.513389,-0.080034,0 days 02:36:12,0.0,0.0,2.6033333333333335
86,2020-01-03 04:05:21+00:00,51.516966,-0.1059,0 days 00:31:26,0.0,0.0,0.5238888888888888
87,2020-01-03 04:36:47+00:00,51.513268,-0.100202,0 days 21:57:39,0.0,0.0,21.960833333333333
88,2020-01-04 02:34:26+00:00,51.508066,-0.08778,2 days 00:47:47,0.0657030223390276,0.2857142857142857,48.79638888888889
92,2020-01-06 03:22:13+00:00,51.514858,0.004717,1 days 00:54:44,0.0328515111695138,0.14285714285714285,24.912222222222223
97,2020-01-07 04:16:57+00:00,51.517184,-0.076747,2 days 02:28:01,0.0657030223390276,0.2857142857142857,50.466944444444444
99,2020-01-09 06:44:58+00:00,51.51768,-0.078484,1 days 23:13:59,0.0328515111695138,0.14285714285714285,47.23305555555555
101,2020-01-11 05:58:57+00:00,51.516351,-0.082965,0 days 01:34:00,0.0,0.0,1.5666666666666667
102,2020-01-11 07:32:57+00:00,51.516351,-0.082965,0 days 03:36:42,0.0,0.0,3.611666666666667
103,2020-01-11 11:09:39+00:00,51.516351,-0.082965,0 days 00:58:16,0.0,0.0,0.9711111111111111
104,2020-01-11 12:07:55+00:00,51.514461,-0.092268,0 days 22:27:10,0.0,0.0,22.45277777777778
106,2020-01-12 10:35:05+00:00,51.509848,-0.104494,0 days 15:38:44,0.0,0.0,15.645555555555555
107,2020-01-13 02:13:49+00:00,51.513377,-0.096363,0 days 23:26:50,0.0,0.0,23.447222222222223
109,2020-01-14 01:40:39+00:00,51.515739,-0.100632,0 days 05:12:22,0.0,0.0,5.206111111111111
111,2020-01-14 06:53:01+00:00,51.516814,-0.08162,1 days 00:38:07,0.0328515111695138,0.14285714285714285,24.635277777777777
112,2020-01-15 07:31:08+00:00,51.514151,-0.074958,0 days 22:25:22,0.0,0.0,22.422777777777778
113,2020-01-16 05:56:30+00:00,51.517058,-0.083296,0 days 22:58:21,0.0,0.0,22.9725
116,2020-01-17 04:54:51+00:00,51.513171,-0.077694,0 days 02:01:40,0.0,0.0,2.0277777777777777
117,2020-01-17 06:56:31+00:00,51.522003,-0.117684,0 days 01:57:10,0.0,0.0,1.9527777777777777
118,2020-01-17 08:53:41+00:00,51.516834,-0.076199,0 days 00:36:56,0.0,0.0,0.6155555555555555
119,2020-01-17 09:30:37+00:00,51.515196,-0.071772,1 days 18:35:29,0.0328515111695138,0.14285714285714285,42.591388888888886
121,2020-01-19 04:06:06+00:00,51.517576,-0.079786,2 days 03:36:28,0.0657030223390276,0.2857142857142857,51.60777777777778
126,2020-01-21 07:42:34+00:00,51.513389,-0.080034,1 days 02:16:28,0.0328515111695138,0.14285714285714285,26.274444444444445
128,2020-01-22 09:59:02+00:00,51.517184,-0.076747,0 days 01:15:49,0.0,0.0,1.263611111111111
129,2020-01-22 11:14:51+00:00,51.516814,-0.08162,0 days 14:38:20,0.0,0.0,14.63888888888889
130,2020-01-23 01:53:11+00:00,51.516814,-0.08162,0 days 00:45:55,0.0,0.0,0.7652777777777777
131,2020-01-23 02:39:06+00:00,51.51265,-0.101452,0 days 00:56:19,0.0,0.0,0.9386111111111111
132,2020-01-23 03:35:25+00:00,51.51265,-0.101452,0 days 06:12:44,0.0,0.0,6.2122222222222225
135,2020-01-23 09:48:09+00:00,51.52029,-0.078591,0 days 18:33:19,0.0,0.0,18.55527777777778
136,2020-01-24 04:21:28+00:00,51.509547,-0.076031,0 days 01:53:12,0.0,0.0,1.8866666666666667
137,2020-01-24 06:14:40+00:00,51.508066,-0.08778,0 days 23:33:28,0.0,0.0,23.557777777777776
139,2020-01-25 05:48:08+00:00,51.510651,-0.080322,0 days 03:40:20,0.0,0.0,3.672222222222222
141,2020-01-25 09:28:28+00:00,51.51265,-0.101452,0 days 01:53:17,0.0,0.0,1.8880555555555556
142,2020-01-25 11:21:45+00:00,51.514151,-0.074958,0 days 18:36:30,0.0,0.0,18.608333333333334
143,2020-01-26 05:58:15+00:00,51.511625,-0.081549,0 days 06:51:17,0.0,0.0,6.854722222222223
144,2020-01-26 12:49:32+00:00,51.516886,-0.090985,0 days 14:56:21,0.0,0.0,14.939166666666667
145,2020-01-27 03:45:53+00:00,51.51905,-0.076437,1 days 23:29:59,0.0328515111695138,0.14285714285714285,47.499722222222225
151,2020-01-29 03:15:52+00:00,51.516814,-0.08162,0 days 23:51:08,0.0,0.0,23.852222222222224
152,2020-01-30 03:07:00+00:00,51.513194,-0.092321,0 days 01:59:48,0.0,0.0,1.9966666666666666
153,2020-01-30 05:06:48+00:00,51.508066,-0.08778,1 days 21:23:49,0.0328515111695138,0.14285714285714285,45.39694444444444
156,2020-02-01 02:30:37+00:00,51.516006,-0.080573,1 days 02:49:34,0.0328515111695138,0.14285714285714285,26.82611111111111
160,2020-02-02 05:20:11+00:00,51.515606,-0.094094,0 days 01:07:39,0.0,0.0,1.1275
161,2020-02-02 06:27:50+00:00,51.516497,-0.094115,0 days 20:05:15,0.0,0.0,20.0875
162,2020-02-03 02:33:05+00:00,51.510913,-0.101395,1 days 00:27:46,0.0328515111695138,0.14285714285714285,24.462777777777777
163,2020-02-04 03:00:51+00:00,51.516814,-0.08162,0 days 00:11:57,0.0,0.0,0.19916666666666666
164,2020-02-04 03:12:48+00:00,51.516814,-0.08162,0 days 00:50:33,0.0,0.0,0.8425
165,2020-02-04 04:03:21+00:00,51.516508,-0.079398,3 days 01:52:13,0.09855453350854139,0.42857142857142855,73.87027777777777
173,2020-02-07 05:55:34+00:00,51.518864,-0.097562,0 days 22:39:53,0.0,0.0,22.664722222222224
176,2020-02-08 04:35:27+00:00,51.518226,-0.111497,0 days 04:06:27,0.0,0.0,4.1075
177,2020-02-08 08:41:54+00:00,51.516508,-0.079398,3 days 23:56:53,0.09855453350854139,0.42857142857142855,95.94805555555556
181,2020-02-12 08:38:47+00:00,51.516508,-0.079398,3 days 17:51:14,0.09855453350854139,0.42857142857142855,89.85388888888889
184,2020-02-16 02:30:01+00:00,51.516497,-0.094115,3 days 02:09:23,0.09855453350854139,0.42857142857142855,74.15638888888888
185,2020-02-19 04:39:24+00:00,51.51265,-0.101452,0 days 02:34:46,0.0,0.0,2.5794444444444444
186,2020-02-19 07:14:10+00:00,51.51265,-0.101452,0 days 19:59:42,0.0,0.0,19.995
189,2020-02-20 03:13:52+00:00,51.51265,-0.101452,0 days 07:42:32,0.0,0.0,7.708888888888889
190,2020-02-20 10:56:24+00:00,51.511749,-0.108018,4 days 18:32:08,0.1314060446780552,0.5714285714285714,114.53555555555556
197,2020-02-25 05:28:32+00:00,51.504439,-0.090915,1 days 01:17:30,0.0328515111695138,0.14285714285714285,25.291666666666668
200,2020-02-26 06:46:02+00:00,51.517032,-0.089451,0 days 02:36:37,0.0,0.0,2.6102777777777777
202,2020-02-26 09:22:39+00:00,51.55269,-0.109594,0 days 03:18:47,0.0,0.0,3.3130555555555556
203,2020-02-26 12:41:26+00:00,51.513171,-0.077694,2 days 21:07:16,0.0657030223390276,0.2857142857142857,69.1211111111111
208,2020-02-29 09:48:42+00:00,51.509848,-0.104494,0 days 00:18:44,0.0,0.0,0.31222222222222223
209,2020-02-29 10:07:26+00:00,51.509848,-0.104494,0 days 02:45:03,0.0,0.0,2.7508333333333335
210,2020-02-29 12:52:29+00:00,51.518864,-0.097562,0 days 00:01:33,0.0,0.0,0.025833333333333333
211,2020-02-29 12:54:02+00:00,51.505103,-0.099677,2 days 14:55:31,0.0657030223390276,0.2857142857142857,62.92527777777778
214,2020-03-03 03:49:33+00:00,51.513952,-0.085833,1 days 01:00:11,0.0328515111695138,0.14285714285714285,25.003055555555555
215,2020-03-04 04:49:44+00:00,51.514151,-0.074958,0 days 00:00:18,0.0,0.0,0.005
216,2020-03-04 04:50:02+00:00,51.516814,-0.08162,0 days 02:44:48,0.0,0.0,2.7466666666666666
217,2020-03-04 07:34:50+00:00,51.51121,-0.094206,1 days 19:23:23,0.0328515111695138,0.14285714285714285,43.389722222222225
218,2020-03-06 02:58:13+00:00,51.516814,-0.08162,0 days 07:59:22,0.0,0.0,7.989444444444445
219,2020-03-06 10:57:35+00:00,51.512147,-0.092077,1 days 00:36:22,0.0328515111695138,0.14285714285714285,24.60611111111111
221,2020-03-07 11:33:57+00:00,51.517149,-0.08776,1 days 16:42:03,0.0328515111695138,0.14285714285714285,40.700833333333335
222,2020-03-09 04:16:00+00:00,51.511625,-0.081549,1 days 07:26:19,0.0328515111695138,0.14285714285714285,31.43861111111111
225,2020-03-10 11:42:19+00:00,51.509775,-0.085014,1 days 13:38:35,0.0328515111695138,0.14285714285714285,37.643055555555556
228,2020-03-12 01:20:54+00:00,51.508066,-0.08778,1 days 03:10:57,0.0328515111695138,0.14285714285714285,27.1825
230,2020-03-13 04:31:51+00:00,51.516147,-0.082066,0 days 03:10:00,0.0,0.0,3.1666666666666665
231,2020-03-13 07:41:51+00:00,51.514203,-0.094628,0 days 03:24:37,0.0,0.0,3.410277777777778
233,2020-03-13 11:06:28+00:00,51.516966,-0.1059,0 days 16:30:51,0.0,0.0,16.514166666666668
234,2020-03-14 03:37:19+00:00,51.514461,-0.092268,1 days 00:41:30,0.0328515111695138,0.14285714285714285,24.691666666666666
235,2020-03-15 04:18:49+00:00,51.511916,-0.076853,8 days 01:40:02,0.2628120893561104,1.1428571428571428,193.66722222222222
244,2020-03-23 05:58:51+00:00,51.512147,-0.092077,3 days 02:23:15,0.09855453350854139,0.42857142857142855,74.3875
247,2020-03-26 08:22:06+00:00,51.511122,-0.087666,0 days 01:25:10,0.0,0.0,1.4194444444444445
249,2020-03-26 09:47:16+00:00,51.509848,-0.104494,0 days 01:52:36,0.0,0.0,1.8766666666666667
250,2020-03-26 11:39:52+00:00,51.517728,-0.10238,0 days 00:08:19,0.0,0.0,0.1386111111111111
251,2020-03-26 11:48:11+00:00,51.512147,-0.092077,0 days 17:41:00,0.0,0.0,17.683333333333334
252,2020-03-27 05:29:11+00:00,51.516867,-0.022004,5 days 19:25:06,0.164257555847569,0.7142857142857143,139.41833333333332
256,2020-04-02 00:54:17+00:00,51.516351,-0.082965,1 days 08:28:29,0.0328515111695138,0.14285714285714285,32.47472222222222
257,2020-04-03 09:22:46+00:00,51.515546,-0.070056,0 days 01:40:22,0.0,0.0,1.6727777777777777
258,2020-04-03 11:03:08+00:00,51.516047,-0.075411,3 days 23:50:09,0.09855453350854139,0.42857142857142855,95.83583333333333
262,2020-04-07 10:53:17+00:00,51.51962,-0.088766,2 days 15:39:10,0.0657030223390276,0.2857142857142857,63.65277777777778
263,2020-04-10 02:32:27+00:00,51.522615,-0.077253,0 days 08:48:03,0.0,0.0,8.800833333333333
264,2020-04-10 11:20:30+00:00,51.509848,-0.104494,2 days 16:43:36,0.0657030223390276,0.2857142857142857,64.72666666666667
267,2020-04-13 04:04:06+00:00,51.518864,-0.097562,3 days 03:28:19,0.09855453350854139,0.42857142857142855,75.47194444444445
271,2020-04-16 07:32:25+00:00,51.583366,-0.072178,0 days 00:51:01,0.0,0.0,0.8502777777777778
272,2020-04-16 08:23:26+00:00,51.589418,-0.076556,0 days 23:53:53,0.0,0.0,23.898055555555555
274,2020-04-17 08:17:19+00:00,51.506895,-0.058634,1 days 20:37:00,0.0328515111695138,0.14285714285714285,44.61666666666667
276,2020-04-19 04:54:19+00:00,51.509027,-0.06304,5 days 02:28:39,0.164257555847569,0.7142857142857143,122.4775
283,2020-04-24 07:22:58+00:00,51.516814,-0.08162,0 days 03:12:13,0.0,0.0,3.203611111111111
284,2020-04-24 10:35:11+00:00,51.51768,-0.078484,1 days 15:25:51,0.0328515111695138,0.14285714285714285,39.43083333333333
285,2020-04-26 02:01:02+00:00,51.51265,-0.076044,2 days 23:10:47,0.0657030223390276,0.2857142857142857,71.17972222222222
289,2020-04-29 01:11:49+00:00,51.516966,-0.1059,0 days 00:07:19,0.0,0.0,0.12194444444444444
290,2020-04-29 01:19:08+00:00,51.516966,-0.1059,2 days 23:22:17,0.0657030223390276,0.2857142857142857,71.37138888888889
291,2020-05-02 00:41:25+00:00,51.512147,-0.092077,4 days 01:01:42,0.1314060446780552,0.5714285714285714,97.02833333333334
293,2020-05-06 01:43:07+00:00,51.51265,-0.101452,0 days 10:14:29,0.0,0.0,10.241388888888888
294,2020-05-06 11:57:36+00:00,51.51265,-0.101452,0 days 15:04:43,0.0,0.0,15.078611111111112
295,2020-05-07 03:02:19+00:00,51.508181,-0.019397,2 days 22:07:31,0.0657030223390276,0.2857142857142857,70.12527777777778
299,2020-05-10 01:09:50+00:00,51.518231,-0.112939,0 days 00:00:54,0.0,0.0,0.015
300,2020-05-10 01:10:44+00:00,51.518231,-0.112939,0 days 00:02:44,0.0,0.0,0.04555555555555556
301,2020-05-10 01:13:28+00:00,51.518231,-0.112939,1 days 09:40:30,0.0328515111695138,0.14285714285714285,33.675
306,2020-05-11 10:53:58+00:00,51.515728,-0.078393,1 days 13:56:11,0.0328515111695138,0.14285714285714285,37.93638888888889
309,2020-05-13 00:50:09+00:00,51.506255,-0.074901,0 days 00:35:25,0.0,0.0,0.5902777777777778
310,2020-05-13 01:25:34+00:00,51.506255,-0.074901,0 days 10:17:20,0.0,0.0,10.28888888888889
311,2020-05-13 11:42:54+00:00,51.511711,-0.07421,2 days 22:15:01,0.0657030223390276,0.2857142857142857,70.25027777777778
313,2020-05-16 09:57:55+00:00,51.513952,-0.085833,2 days 17:20:59,0.0657030223390276,0.2857142857142857,65.34972222222223
315,2020-05-19 03:18:54+00:00,51.515484,-0.088233,0 days 06:17:52,0.0,0.0,6.297777777777778
316,2020-05-19 09:36:46+00:00,51.540568,0.002083,0 days 15:09:17,0.0,0.0,15.154722222222222
318,2020-05-20 00:46:03+00:00,51.513928,-0.108231,0 days 00:00:31,0.0,0.0,0.008611111111111111
319,2020-05-20 00:46:34+00:00,51.513928,-0.108231,0 days 00:06:48,0.0,0.0,0.11333333333333333
320,2020-05-20 00:53:22+00:00,51.51121,-0.094206,0 days 03:27:04,0.0,0.0,3.451111111111111
321,2020-05-20 04:20:26+00:00,51.592365,-0.082452,0 days 21:09:11,0.0,0.0,21.153055555555557
322,2020-05-21 01:29:37+00:00,51.517032,-0.089451,3 days 07:00:59,0.09855453350854139,0.42857142857142855,79.01638888888888
326,2020-05-24 08:30:36+00:00,51.516351,-0.082965,0 days 19:42:20,0.0,0.0,19.705555555555556
328,2020-05-25 04:12:56+00:00,51.512147,-0.092077,0 days 20:18:48,0.0,0.0,20.313333333333333
329,2020-05-26 00:31:44+00:00,51.512791,-0.101274,4 days 05:27:13,0.1314060446780552,0.5714285714285714,101.45361111111112
330,2020-05-30 05:58:57+00:00,51.506338,-0.088227,0 days 00:01:38,0.0,0.0,0.02722222222222222
331,2020-05-30 06:00:35+00:00,51.506338,-0.088227,2 days 21:06:20,0.0657030223390276,0.2857142857142857,69.10555555555555
332,2020-06-02 03:06:55+00:00,51.506255,-0.074901,0 days 03:34:24,0.0,0.0,3.5733333333333333
333,2020-06-02 06:41:19+00:00,51.514513,-0.096561,0 days 20:01:14,0.0,0.0,20.020555555555557
334,2020-06-03 02:42:33+00:00,51.510913,-0.101395,0 days 00:37:36,0.0,0.0,0.6266666666666667
335,2020-06-03 03:20:09+00:00,51.510913,-0.101395,0 days 05:16:19,0.0,0.0,5.271944444444444
336,2020-06-03 08:36:28+00:00,51.517032,-0.089451,0 days 02:21:10,0.0,0.0,2.352777777777778
337,2020-06-03 10:57:38+00:00,51.517032,-0.089451,1 days 00:31:11,0.0328515111695138,0.14285714285714285,24.51972222222222
338,2020-06-04 11:28:49+00:00,51.51768,-0.078484,0 days 15:30:56,0.0,0.0,15.515555555555556
339,2020-06-05 02:59:45+00:00,51.513051,-0.104001,0 days 00:03:01,0.0,0.0,0.050277777777777775
340,2020-06-05 03:02:46+00:00,51.513051,-0.104001,4 days 21:47:02,0.1314060446780552,0.5714285714285714,117.7838888888889
342,2020-06-10 00:49:48+00:00,51.51972,-0.099933,0 days 07:30:21,0.0,0.0,7.505833333333333
343,2020-06-10 08:20:09+00:00,51.516351,-0.082965,0 days 19:16:27,0.0,0.0,19.274166666666666
344,2020-06-11 03:36:36+00:00,51.506255,-0.074901,0 days 00:13:36,0.0,0.0,0.22666666666666666
345,2020-06-11 03:50:12+00:00,51.506255,-0.074901,0 days 21:27:51,0.0,0.0,21.464166666666667
347,2020-06-12 01:18:03+00:00,51.5169,-0.084095,0 days 02:59:16,0.0,0.0,2.9877777777777776
348,2020-06-12 04:17:19+00:00,51.5169,-0.084095,2 days 00:05:21,0.0657030223390276,0.2857142857142857,48.089166666666664
349,2020-06-14 04:22:40+00:00,51.515504,-0.07627,0 days 02:56:44,0.0,0.0,2.9455555555555555
350,2020-06-14 07:19:24+00:00,51.512598,-0.084967,0 days 17:38:25,0.0,0.0,17.64027777777778
351,2020-06-15 00:57:49+00:00,51.509547,-0.076031,0 days 00:13:04,0.0,0.0,0.21777777777777776
352,2020-06-15 01:10:53+00:00,51.509547,-0.076031,2 days 01:55:46,0.0657030223390276,0.2857142857142857,49.92944444444444
355,2020-06-17 03:06:39+00:00,51.517032,-0.089451,1 days 02:15:02,0.0328515111695138,0.14285714285714285,26.250555555555554
356,2020-06-18 05:21:41+00:00,51.514203,-0.094628,0 days 01:13:29,0.0,0.0,1.2247222222222223
357,2020-06-18 06:35:10+00:00,51.515196,-0.071772,0 days 02:37:14,0.0,0.0,2.6205555555555557
358,2020-06-18 09:12:24+00:00,51.51992,-0.056696,0 days 19:54:13,0.0,0.0,19.90361111111111
359,2020-06-19 05:06:37+00:00,51.516894,-0.076067,1 days 06:13:22,0.0328515111695138,0.14285714285714285,30.22277777777778
362,2020-06-20 11:19:59+00:00,51.513114,-0.086272,0 days 15:48:23,0.0,0.0,15.80638888888889
363,2020-06-21 03:08:22+00:00,51.515033,-0.07825,0 days 02:07:16,0.0,0.0,2.121111111111111
365,2020-06-21 05:15:38+00:00,51.518799,-0.077601,0 days 05:19:18,0.0,0.0,5.321666666666666
366,2020-06-21 10:34:56+00:00,51.506255,-0.074901,0 days 15:00:55,0.0,0.0,15.015277777777778
367,2020-06-22 01:35:51+00:00,51.51121,-0.094206,0 days 02:03:14,0.0,0.0,2.053888888888889
368,2020-06-22 03:39:05+00:00,51.51142,-0.097699,0 days 00:32:18,0.0,0.0,0.5383333333333333
369,2020-06-22 04:11:23+00:00,51.51142,-0.097699,0 days 02:49:06,0.0,0.0,2.8183333333333334
370,2020-06-22 07:00:29+00:00,51.516814,-0.08162,0 days 02:50:52,0.0,0.0,2.847777777777778
371,2020-06-22 09:51:21+00:00,51.516814,-0.08162,0 days 19:22:13,0.0,0.0,19.370277777777776
374,2020-06-23 05:13:34+00:00,51.51768,-0.078484,1 days 19:09:42,0.0328515111695138,0.14285714285714285,43.16166666666667
377,2020-06-25 00:23:16+00:00,51.516347,-0.104887,1 days 07:59:04,0.0328515111695138,0.14285714285714285,31.984444444444446
378,2020-06-26 08:22:20+00:00,51.514151,-0.074958,4 days 18:47:45,0.1314060446780552,0.5714285714285714,114.79583333333333
388,2020-07-01 03:10:05+00:00,51.512117,-0.102411,0 days 00:00:00,0.0,0.0,0.0
389,2020-07-01 03:10:05+00:00,51.512117,-0.102411,0 days 00:06:28,0.0,0.0,0.10777777777777778
390,2020-07-01 03:16:33+00:00,51.512117,-0.102411,0 days 00:00:00,0.0,0.0,0.0
391,2020-07-01 03:16:33+00:00,51.512117,-0.102411,2 days 00:11:55,0.0657030223390276,0.2857142857142857,48.19861111111111
392,2020-07-03 03:28:28+00:00,51.518864,-0.097562,0 days 00:00:00,0.0,0.0,0.0
393,2020-07-03 03:28:28+00:00,51.518864,-0.097562,1 days 02:35:53,0.0328515111695138,0.14285714285714285,26.598055555555554
396,2020-07-04 06:04:21+00:00,51.514151,-0.074958,0 days 00:00:00,0.0,0.0,0.0
397,2020-07-04 06:04:21+00:00,51.514151,-0.074958,0 days 04:50:22,0.0,0.0,4.839444444444444
398,2020-07-04 10:54:43+00:00,51.522233,-0.107382,0 days 00:00:00,0.0,0.0,0.0
399,2020-07-04 10:54:43+00:00,51.522233,-0.107382,0 days 14:28:46,0.0,0.0,14.479444444444445
402,2020-07-05 01:23:29+00:00,51.515504,-0.07627,0 days 00:00:00,0.0,0.0,0.0
403,2020-07-05 01:23:29+00:00,51.515504,-0.07627,0 days 00:35:08,0.0,0.0,0.5855555555555556
408,2020-07-05 01:58:37+00:00,51.515504,-0.07627,0 days 00:00:00,0.0,0.0,0.0
409,2020-07-05 01:58:37+00:00,51.515504,-0.07627,0 days 08:32:30,0.0,0.0,8.541666666666666
410,2020-07-05 10:31:07+00:00,51.514457,-0.073849,0 days 00:00:00,0.0,0.0,0.0
411,2020-07-05 10:31:07+00:00,51.514457,-0.073849,3 days 19:39:37,0.09855453350854139,0.42857142857142855,91.66027777777778
416,2020-07-09 06:10:44+00:00,51.521667,-0.067145,0 days 00:00:00,0.0,0.0,0.0
417,2020-07-09 06:10:44+00:00,51.521667,-0.067145,0 days 01:56:57,0.0,0.0,1.9491666666666667
